wheelrotation,wheelspeed,ballrotation,ballspeed,startingpoint,winnumber
clock,medium,anticlock,medium,36,13
clock,medium,anticlock,medium,33,8
clock,medium,anticlock,medium,15,7
clock,medium,anticlock,medium,35,23
clock,medium,anticlock,medium,15,14
clock,medium,anticlock,medium,21,11
anticlock,medium,clock,medium,22,8
clock,medium,anticlock,medium,10,13
anticlock,medium,clock,medium,5,29
clock,medium,anticlock,medium,30,13
anticlock,medium,clock,medium,24,33
anticlock,medium,clock,medium,1,17
clock,medium,anticlock,medium,29,15
anticlock,medium,clock,medium,27,30
clock,medium,anticlock,medium,0,35
anticlock,medium,clock,medium,21,2
clock,medium,anticlock,medium,14,14
anticlock,medium,clock,medium,18,13
anticlock,medium,clock,medium,22,0
clock,medium,anticlock,medium,31,13
anticlock,medium,clock,medium,36,10
clock,medium,anticlock,medium,21,8
anticlock,medium,clock,medium,33,28
clock,medium,anticlock,medium,8,31
anticlock,medium,clock,medium,12,18
clock,medium,anticlock,medium,36,13
anticlock,medium,clock,medium,36,12
clock,medium,anticlock,medium,16,36
anticlock,medium,clock,medium,10,32
clock,medium,anticlock,medium,14,24
clock,medium,anticlock,medium,4,20
